commit_id,selected_instance_id,model,agent,main_present,main_patch_generated,main_patch_validated,retry_present,retry_patch_generated,retry_patch_validated,selected_role,selection_reason,selected_source_record
017d2985f3a66955ae4a3fba217f2edca369fca4,pytorch_multi_full_0074_reinplace_017d2985f3a6,deepseek,agentless,True,False,False,True,True,False,no_patch_retry_fill,main_no_patch_or_missing_retry_selected,agentless_searchreplace_v4pro_10000_retry_3000_nopatch_editregion_records.jsonl
03e058189e495223a66f011ef2f6b6aa4b50fe34,pytorch_multi_full_0132_symbolic_convert_03e058189e49,deepseek,agentless,True,False,False,True,True,False,no_patch_retry_fill,main_no_patch_or_missing_retry_selected,agentless_searchreplace_v4pro_10000_retry_3000_nopatch_editregion_records.jsonl
070f3897453ea71a5505e4fcfaccb44e1e0cfa78,pytorch_multi_full_0005_lists_070f3897453e,deepseek,agentless,True,True,False,False,False,False,main,main_selected,agentless_searchreplace_v4pro_3000_editregion_pilot_records.jsonl
0a4197490c660bee9c788f1903bc3feb7d50ae7d,pytorch_multi_full_0011_sym_node_0a4197490c66,deepseek,agentless,True,False,False,True,True,False,no_patch_retry_fill,main_no_patch_or_missing_retry_selected,agentless_searchreplace_v4pro_10000_retry_3000_nopatch_editregion_records.jsonl
0b9bfcf9bb24f4599b1248a81161317fe8da41c0,pytorch_multi_full_0154_lift_constants_pass_0b9bfcf9bb24,deepseek,agentless,True,False,False,True,False,False,no_patch_retry_fill,main_no_patch_or_missing_retry_selected,agentless_searchreplace_v4pro_10000_retry_3000_nopatch_editregion_records.jsonl
0d9c9716b2db52281f6f10a113e07936deeb6e0a,pytorch_multi_full_0054_convert_frame_0d9c9716b2db,deepseek,agentless,True,False,False,True,True,False,no_patch_retry_fill,main_no_patch_or_missing_retry_selected,agentless_searchreplace_v4pro_10000_retry_3000_nopatch_editregion_records.jsonl
0efd184685ad1f9041d95519e690a724b9b1052a,pytorch_multi_full_0076_side_effects_0efd184685ad,deepseek,agentless,True,False,False,True,True,False,no_patch_retry_fill,main_no_patch_or_missing_retry_selected,agentless_searchreplace_v4pro_10000_retry_3000_nopatch_editregion_records.jsonl
106c6a49f5685238a7ab8c88b1b06ec5058febfe,pytorch_multi_full_0045_cache_size_106c6a49f568,deepseek,agentless,True,False,False,True,True,False,no_patch_retry_fill,main_no_patch_or_missing_retry_selected,agentless_searchreplace_v4pro_10000_retry_3000_nopatch_editregion_records.jsonl
10c831567b36717c4155b47c72db13f7b924815b,pytorch_multi_full_0075___init___10c831567b36,deepseek,agentless,True,False,False,True,True,False,no_patch_retry_fill,main_no_patch_or_missing_retry_selected,agentless_searchreplace_v4pro_10000_retry_3000_nopatch_editregion_records.jsonl
114a0bc3068fe67e11561c0ee57416dfa31349d5,pytorch_multi_full_0004_pgo_114a0bc3068f,deepseek,agentless,True,False,False,True,True,False,no_patch_retry_fill,main_no_patch_or_missing_retry_selected,agentless_searchreplace_v4pro_10000_retry_3000_nopatch_editregion_records.jsonl
