commit_id,selected_instance_id,model,agent,strategy,run_role,selection_reason,source_record,main_source_records,retry_source_records,patch_generated,apply_status,patch_path,patch_hash,total_tokens,prompt_tokens,completion_tokens,elapsed_seconds,model_elapsed_seconds,finish_reason,response_chars,reasoning_chars,parent_sha,bug_category,source_files,modified_func_names,bug_reveal_tests
017d2985f3a66955ae4a3fba217f2edca369fca4,pytorch_multi_full_0074_reinplace_017d2985f3a6,deepseek,agentless,search-replace-known-location-editregion,no_patch_retry_fill,main_no_patch_or_missing_retry_selected,agentless_searchreplace_v4pro_10000_retry_3000_nopatch_editregion_records.jsonl,agentless_searchreplace_v4pro_3000_editregion_pilot_records.jsonl,agentless_searchreplace_v4pro_10000_retry_3000_nopatch_editregion_records.jsonl,True,search_replace_applied,data/multi_func_160/patches/pytorch_multi_full_0074_reinplace_017d2985f3a6/deepseek__agentless__no_patch_retry_fill__search-replace-known-location-editregion.diff,c04e98676efcbd5de6884986d85295dd6548fa35b54542184c88a4b3fb555967,5996,1392,4604,97.037,95.865,stop,1424,16982,c6a8db0b9acbefc66f02e7ff46ad6bbedabd8b4b,Shape,torch/_inductor/fx_passes/reinplace.py;torch/_inductor/ir.py,def:ComputedBuffer.get_free_symbol_uses;def:_decompose_scatter_mutating;def:graph_call_function,test/test_dynamic_shapes.py::test_select_scatter_unbacked_index;test/test_dynamic_shapes.py::test_unbacked_item_set_item3
03e058189e495223a66f011ef2f6b6aa4b50fe34,pytorch_multi_full_0132_symbolic_convert_03e058189e49,deepseek,agentless,search-replace-known-location-editregion,no_patch_retry_fill,main_no_patch_or_missing_retry_selected,agentless_searchreplace_v4pro_10000_retry_3000_nopatch_editregion_records.jsonl,agentless_searchreplace_v4pro_3000_editregion_pilot_records.jsonl,agentless_searchreplace_v4pro_10000_retry_3000_nopatch_editregion_records.jsonl,True,search_replace_applied,data/multi_func_160/patches/pytorch_multi_full_0132_symbolic_convert_03e058189e49/deepseek__agentless__no_patch_retry_fill__search-replace-known-location-editregion.diff,1f5ffac6185aa985d84667345c99da4b2ba723fc63e50aa4e537da242e6fc348,6944,1550,5394,99.339,97.081,stop,645,21015,f806128619170965ad9b6cd466eb10b706d4d80c,API,torch/_dynamo/symbolic_convert.py;torch/_dynamo/variables/builtin.py;torch/_dynamo/variables/dicts.py,def:BuiltinVariable.call_custom_dict;def:ConstDictVariable.call_method;def:InstructionTranslatorBase.CALL_FUNCTION_EX,test/dynamo/test_functions.py::test_unpack_mutable_map
070f3897453ea71a5505e4fcfaccb44e1e0cfa78,pytorch_multi_full_0005_lists_070f3897453e,deepseek,agentless,search-replace-known-location-editregion,main,main_selected,agentless_searchreplace_v4pro_3000_editregion_pilot_records.jsonl,agentless_searchreplace_v4pro_3000_editregion_pilot_records.jsonl,agentless_searchreplace_v4pro_10000_retry_3000_nopatch_editregion_records.jsonl,True,search_replace_applied,data/multi_func_160/patches/pytorch_multi_full_0005_lists_070f3897453e/deepseek__agentless__main__search-replace-known-location-editregion.diff,ed0ec5e260867f616d99c6d2ff5875a98303aba7f34a63b830fa399117b85418,1975,983,992,36.042,34.346,stop,565,3294,dea50b0778d4342ba67576b432caef4668a09150,API,torch/_dynamo/variables/lists.py;torch/_higher_order_ops/auto_functionalize.py,def:AutoFunctionalized.__init__;def:AutoFunctionalizedV2.__init__;def:ListVariable.call_method,test/inductor/test_codecache.py::test_auto_functionalized_caching
0a4197490c660bee9c788f1903bc3feb7d50ae7d,pytorch_multi_full_0011_sym_node_0a4197490c66,deepseek,agentless,search-replace-known-location-editregion,no_patch_retry_fill,main_no_patch_or_missing_retry_selected,agentless_searchreplace_v4pro_10000_retry_3000_nopatch_editregion_records.jsonl,agentless_searchreplace_v4pro_3000_editregion_pilot_records.jsonl,agentless_searchreplace_v4pro_10000_retry_3000_nopatch_editregion_records.jsonl,True,search_replace_applied,data/multi_func_160/patches/pytorch_multi_full_0011_sym_node_0a4197490c66/deepseek__agentless__no_patch_retry_fill__search-replace-known-location-editregion.diff,1b2737913e94b904377a0aef520e1ca7f346678678f8469d19e0ee7461be70b2,10037,1519,8518,187.444,181.522,stop,1073,31670,701ddf962a5d8a0d727f93ed71b3403557eec7ce,Logic,torch/fx/experimental/sym_node.py;torch/fx/experimental/symbolic_shapes.py,def:ShapeEnv.simplify;def:_make_node_magic.binary_magic_impl;def:_make_node_magic.round_impl;def:_make_node_magic.sym_ite_impl;def:_make_node_magic.unary_magic_impl;def:safe_expand,test/dynamo/test_misc.py::test_symint_fold_nontrivial_product_modulo
0b9bfcf9bb24f4599b1248a81161317fe8da41c0,pytorch_multi_full_0154_lift_constants_pass_0b9bfcf9bb24,deepseek,agentless,search-replace-known-location-editregion,no_patch_retry_fill,main_no_patch_or_missing_retry_selected,agentless_searchreplace_v4pro_10000_retry_3000_nopatch_editregion_records.jsonl,agentless_searchreplace_v4pro_3000_editregion_pilot_records.jsonl,agentless_searchreplace_v4pro_10000_retry_3000_nopatch_editregion_records.jsonl,False,not_attempted,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0,0,2.765,1.5,,,,8087912622fc02c866d48bb07a4f46aed91a24e1,API,torch/_export/passes/lift_constants_pass.py;torch/export/_trace.py,def:_export;def:lift_constants_pass,test/export/test_export.py::test_preserve_shape_dynamism_for_unused_inputs;test/export/test_export.py::test_tensor_attribute_zero_args
0d9c9716b2db52281f6f10a113e07936deeb6e0a,pytorch_multi_full_0054_convert_frame_0d9c9716b2db,deepseek,agentless,search-replace-known-location-editregion,no_patch_retry_fill,main_no_patch_or_missing_retry_selected,agentless_searchreplace_v4pro_10000_retry_3000_nopatch_editregion_records.jsonl,agentless_searchreplace_v4pro_3000_editregion_pilot_records.jsonl,agentless_searchreplace_v4pro_10000_retry_3000_nopatch_editregion_records.jsonl,True,search_replace_applied,data/multi_func_160/patches/pytorch_multi_full_0054_convert_frame_0d9c9716b2db/deepseek__agentless__no_patch_retry_fill__search-replace-known-location-editregion.diff,d15eead131b1fad8c8704a8330b84065a4dd94505bd3206bfab28eabf449b807,7431,1345,6086,128.367,126.183,stop,1014,25308,d342dc0179944dd317b509b3432da81701836444,API,torch/_dynamo/convert_frame.py;torch/_dynamo/output_graph.py,def:OutputGraph.compile_and_call_fx_graph;def:OutputGraph.compile_subgraph;def:OutputGraph.run_compiler_collective;def:_compile._compile_inner,test/distributed/test_dynamo_distributed.py::test_compiler_collectives_graph_break_empty_graph_still_collective
0efd184685ad1f9041d95519e690a724b9b1052a,pytorch_multi_full_0076_side_effects_0efd184685ad,deepseek,agentless,search-replace-known-location-editregion,no_patch_retry_fill,main_no_patch_or_missing_retry_selected,agentless_searchreplace_v4pro_10000_retry_3000_nopatch_editregion_records.jsonl,agentless_searchreplace_v4pro_3000_editregion_pilot_records.jsonl,agentless_searchreplace_v4pro_10000_retry_3000_nopatch_editregion_records.jsonl,True,search_replace_applied,data/multi_func_160/patches/pytorch_multi_full_0076_side_effects_0efd184685ad/deepseek__agentless__no_patch_retry_fill__search-replace-known-location-editregion.diff,3fa47cf7792c26fee07e4b38827a1cffa1b43af2a1ee8632f23e4186429c183a,3721,1171,2550,53.887,51.809,stop,1632,10093,7c3c8a662efe010f3e30237a1935abc20ac8fc63,Logic,torch/_dynamo/side_effects.py;torch/_dynamo/variables/builder.py,def:SideEffects.codegen_update_mutated;def:VariableBuilder.wrap_range_iterator,test/dynamo/test_misc.py::test_build_tuple_unpack;test/dynamo/test_misc.py::test_range_iter_side_effects
106c6a49f5685238a7ab8c88b1b06ec5058febfe,pytorch_multi_full_0045_cache_size_106c6a49f568,deepseek,agentless,search-replace-known-location-editregion,no_patch_retry_fill,main_no_patch_or_missing_retry_selected,agentless_searchreplace_v4pro_10000_retry_3000_nopatch_editregion_records.jsonl,agentless_searchreplace_v4pro_3000_editregion_pilot_records.jsonl,agentless_searchreplace_v4pro_10000_retry_3000_nopatch_editregion_records.jsonl,True,search_replace_applied,data/multi_func_160/patches/pytorch_multi_full_0045_cache_size_106c6a49f568/deepseek__agentless__no_patch_retry_fill__search-replace-known-location-editregion.diff,596481314ba2d32d42bd27b1a584e3db80e67470925992b9b53f1bcc4a7ce75d,7297,1194,6103,147.835,144.943,stop,315,25724,abcd32935980f61df8849d7fd5d0802730ec9360,Logic,torch/_dynamo/cache_size.py;torch/_dynamo/convert_frame.py,def:_compile;def:exceeds_cache_size_limit,test/dynamo/test_modules.py::test_recompile_limit_on_freed_module
10c831567b36717c4155b47c72db13f7b924815b,pytorch_multi_full_0075___init___10c831567b36,deepseek,agentless,search-replace-known-location-editregion,no_patch_retry_fill,main_no_patch_or_missing_retry_selected,agentless_searchreplace_v4pro_10000_retry_3000_nopatch_editregion_records.jsonl,agentless_searchreplace_v4pro_3000_editregion_pilot_records.jsonl,agentless_searchreplace_v4pro_10000_retry_3000_nopatch_editregion_records.jsonl,True,search_replace_applied,data/multi_func_160/patches/pytorch_multi_full_0075___init___10c831567b36/deepseek__agentless__no_patch_retry_fill__search-replace-known-location-editregion.diff,2e6b58c2336a1fb4ac5be027e571bc1712986f9cf0b74a6c7563d1dfc1ec2a3d,7033,1401,5632,112.114,109.291,stop,1897,21024,acd03ca2d9297f1386edd0840b7c8a9120dbbe90,Type,torch/__init__.py;torch/_inductor/utils.py,def:SymBool._sympy_;def:SymFloat._sympy_;def:SymInt._sympy_;def:convert_shape_to_inductor,test/test_dynamic_shapes.py::test_roundtrip;test/test_dynamic_shapes.py::test_sympify_symint
114a0bc3068fe67e11561c0ee57416dfa31349d5,pytorch_multi_full_0004_pgo_114a0bc3068f,deepseek,agentless,search-replace-known-location-editregion,no_patch_retry_fill,main_no_patch_or_missing_retry_selected,agentless_searchreplace_v4pro_10000_retry_3000_nopatch_editregion_records.jsonl,agentless_searchreplace_v4pro_3000_editregion_pilot_records.jsonl,agentless_searchreplace_v4pro_10000_retry_3000_nopatch_editregion_records.jsonl,True,search_replace_applied,data/multi_func_160/patches/pytorch_multi_full_0004_pgo_114a0bc3068f/deepseek__agentless__no_patch_retry_fill__search-replace-known-location-editregion.diff,cafe50bc138ed10f38b3fee09a3d71a5b7151448c60d5f633597d50b882a06f7,6622,1813,4809,114.566,110.381,stop,565,18121,af682f3cd7126cfb126b3279ea1dbfaf760d97bc,Type,torch/_dynamo/pgo.py;torch/_dynamo/variables/builder.py,def:FrameStateSizeEntry.__post_init__;def:FrameStateSizeEntry._munge_symint;def:FrameStateSizeEntry.make_scalar;def:FrameStateSizeEntry.make_size;def:FrameStateSizeEntry.make_tensor;def:_automatic_dynamic,test/dynamo/test_pgo.py::test_distinct_compile_id;test/dynamo/test_pgo.py::test_njt
